Country,Year,Production,Exports,Domestic_consumption,Gross_opening_stocks,Imports,Re_exports,Price_retail,Consumption,Coffee_type,Price_grower,Country_code,Latitude,Longitude,Exports (tonnes),Domestic Consumption (tonnes),Production (tonnes),Price to Grower ($)
Indonesia,2007,7776.5557,4149.4101006,3333.0,30.0,,,,,Brazilan Naturals,117.9882,ID,-0.789275,113.921327,248964.606036,199980.0,466593.342,1.179882
Indonesia,2007,7776.5557,4149.4101006,3333.0,30.0,,,,,Robustas,55.8043,ID,-0.789275,113.921327,248964.606036,199980.0,466593.342,0.558043
Madagascar,2007,614.1661,99.4513715,467.0,8.333,,,,,Other Milds,,MG,-18.766947,46.869107,5967.082289999999,28020.0,36849.966,
Madagascar,2007,614.1661,99.4513715,467.0,8.333,,,,,Robustas,69.5695,MG,-18.766947,46.869107,5967.082289999999,28020.0,36849.966,0.6956950000000001
Malawi,2007,18.812,18.875,1.0,2.0,,,,,Other Milds,80.358,MW,-13.254307999999998,34.301525,1132.5,60.0,1128.72,0.8035800000000001
Papua New Guinea,2007,967.7113,908.7452539,2.0,80.127,,,,,Other Milds,76.6883,PG,-6.314993,143.95555,54524.715233999996,120.0,58062.678,0.766883
Papua New Guinea,2007,967.7113,908.7452539,2.0,80.127,,,,,Robustas,23.9073,PG,-6.314993,143.95555,54524.715233999996,120.0,58062.678,0.23907299999999998
Peru,2007,3062.9307,2879.4942892,220.0,16.0,,,,,Other Milds,85.4441,PE,-9.189967,-75.015152,172769.657352,13200.0,183775.842,0.854441
Rwanda,2007,224.0446,255.5357195,1.0,17.0,,,,,Other Milds,,RW,-1.940278,29.873888,15332.14317,60.0,13442.676,
Zimbabwe,2007,31.2441,32.4034668,4.0,5.0,,,,,Other Milds,,ZW,-19.015438,29.154857,1944.2080079999998,240.0,1874.646,
Congo,2007,3.0,0.0,3.0,0.0,,,,,Robustas,,,,,0.0,180.0,180.0,
Cuba,2007,109.8567,15.64,224.0,22.0,,,,,Other Milds,47.1428,CU,21.521757,-77.78116700000001,938.4000000000001,13440.0,6591.402,0.471428
Dominican Republic,2007,464.9084,77.8296446,378.0,45.0,,,,,Other Milds,87.1283,DO,18.735693,-70.162651,4669.778676,22680.0,27894.503999999997,0.8712829999999999
Haiti,2007,359.4114,20.8177303,340.0,0.0,,,,,Other Milds,,HT,18.971187,-72.28521500000001,1249.063818,20400.0,21564.684,
Philippines,2007,445.6113,32.4238816,1060.0,50.0,,,,,Brazilan Naturals,81.3725,PH,12.879721,121.774017,1945.432896,63600.0,26736.678,0.813725
Philippines,2007,445.6113,32.4238816,1060.0,50.0,,,,,Robustas,74.4775,PH,12.879721,121.774017,1945.432896,63600.0,26736.678,0.7447750000000001
Tanzania,2007,809.7958,807.2481667,47.0,18.383,,,,,Colombian Milds,59.7769,TZ,-6.369028,34.888822,48434.890002,2820.0,48587.748,0.597769
Tanzania,2007,809.7958,807.2481667,47.0,18.383,,,,,Robustas,21.3788,TZ,-6.369028,34.888822,48434.890002,2820.0,48587.748,0.21378799999999998
Zambia,2007,61.4737,53.682,1.0,0.0,,,,,Other Milds,106.4471,ZM,-13.133897,27.849332,3220.92,60.0,3688.422,1.0644710000000002
Cameroon,2007,795.3046,720.62075,69.0,40.116,,,,,Other Milds,80.1917,CM,7.369722,12.354722,43237.245,4140.0,47718.276000000005,0.801917
Cameroon,2007,795.3046,720.62075,69.0,40.116,,,,,Robustas,55.1318,CM,7.369722,12.354722,43237.245,4140.0,47718.276000000005,0.551318
Central African Republic,2007,43.467,121.9396667,3.333,5.0,,,,,Robustas,45.3414,CF,6.611111,20.939444,7316.380002,199.98000000000002,2608.02,0.453414
Colombia,2007,12515.0974,11300.4206901,1280.923,1538.639,,,,,Colombian Milds,100.0535,CO,4.570868,-74.297333,678025.241406,76855.38,750905.844,1.000535
Costa Rica,2007,1797.1373,1363.8501555,375.0,100.0,,,,,Other Milds,98.6447,CR,9.748917,-83.753428,81831.00933,22500.0,107828.23800000001,0.986447
Côte d'Ivoire,2007,1338.1445,2195.6015148,317.0,1228.586,,,,,Robustas,32.8384,CI,7.539989,-5.54708,131736.090888,19020.0,80288.67000000001,0.328384
Democratic Republic of Congo,2007,415.9287,199.9877167,200.0,0.0,,,,,Other Milds,,,,,11999.263002,12000.0,24955.721999999998,
Democratic Republic of Congo,2007,415.9287,199.9877167,200.0,0.0,,,,,Robustas,,,,,11999.263002,12000.0,24955.721999999998,
El Salvador,2007,1504.9911,1210.3587142,250.5,54.0,,,,,Other Milds,75.2353,SV,13.794185,-88.89653,72621.522852,15030.0,90299.466,0.7523529999999999
Ethiopia,2007,5966.6796,2604.008,2894.0,933.0,,,,,Brazilan Naturals,69.829,ET,9.145,40.489673,156240.47999999998,173640.0,358000.776,0.69829
Gabon,2007,0.721,0.403,0.3,0.0,,,,,Robustas,,GA,-0.803689,11.609444,24.18,18.0,43.26,
Ghana,2007,34.6644,22.12315,2.0,3.0,,,,,Robustas,,GH,7.946527000000001,-1.0231940000000002,1327.389,120.0,2079.864,
Guatemala,2007,4099.6768,3726.1669582,300.0,30.0,,,,,Other Milds,98.312,GT,15.783471,-90.230759,223570.01749199998,18000.0,245980.608,0.98312
Guinea,2007,322.6894,435.6941632,50.0,4.0,,,,,Robustas,,GN,9.945587,-9.696645,26141.649792,3000.0,19361.363999999998,
Honduras,2007,3639.7929,3312.0085632,245.0,98.14,,,,,Other Milds,81.632,HN,15.199998999999998,-86.241905,198720.513792,14700.0,218387.574,0.81632
India,2007,4366.6594,3319.4056657,1350.0,1471.0,,,,,Other Milds,108.0306,IN,20.593684,78.96288,199164.339942,81000.0,261999.56399999998,1.080306
India,2007,4366.6594,3319.4056657,1350.0,1471.0,,,,,Robustas,79.3802,IN,20.593684,78.96288,199164.339942,81000.0,261999.56399999998,0.793802
